F8 F12
I6 E6
H9 N9
I5 G5
F1 H1
A11 A9
C1 C1
A5 A5
A5 A9
L9 L5
E5 E9
L3 H3
N11 N9
M11 I11
L1 L1
I8 I8
F10 I3
E1 C4
A10 C4
N10 D7
G1 E5
L1 I12
H5 M4
I3 M4
F10 C12
I12 G2
C1 G2
C4 E11
C4 E11
M4 M10
M4 M10
E7 I5
E5 B10
D7 B10
E11 N3
A7 I12
F10 I12
M10 G9
G2 E11
I8 M12
G6 A11
L7 A11
E11 N11
G2 N11
A5 H2
G9 B12
M10 B11
L7 N2
G6 N2
G1 H4
B10 E2
E7 L9
L9 L9
A7 G9
E2 H8
E7 I7
H8 C12
L7 E5
G6 E5
L7 M4
L9 G6
E7 G6
H2 M7
M12 M7
G6 A8
L7 A8
C12 F7
L7 A3
M7 D8
M7 C2
D8 C2
L7 M10
G6 C9
L3 M10
F10 H7
A7 H7
I1 M5
E7 H1
L9 H1
N11 F3
N11 I4
F3 I4
D1 C11
E7 L8
L9 L8
C2 I7
F7 G3
B10 G3
N3 G11
L7 M1
G6 M1
I7 B11
F10 A7
B11 N11
C2 N11
L7 F7
E1 B5
A7 C2
F10 C2
A7 D10
L9 C9
E7 C9
F10 C7
I4 F9
I4 G5
F9 G5
G5 H11
G5 H11
F10 I12
E7 B8
H11 N10
A7 B8
F10 B8
E7 B6
B5 C9
H11 G5
N10 I3
G5 I3
N11 F7
I3 L2
F10 I8
L7 G9
G6 G9
A7 H11
L9 E1
E7 E1
F7 M1
N11 M1
I3 G2
L7 F6
G2 M10
B12 M4
C9 M4
M1 F4
G3 M6
L7 G10
G6 H12
L7 H12
M1 D10
L2 H10
M4 H5
M4 D2
H5 D2
H10 C6
L9 B8
E7 A6
L9 A6
E7 D12
L9 D12
A7 C5
L9 D10
D2 G9
G11 D7
A7 B12
F10 B12
L7 L3
G6 L8
A7 G4
F10 F9
A7 F9
F10 G7
G3 M4
G6 M2
L7 B3
G6 B3
A7 A4
D7 B9
M10 G7
G6 I1
L7 I1
F10 L9
E7 L8
L9 H5
A7 L8
F10 L8
L7 G3
G6 G3
L7 L4
F10 L3
A7 L3
F10 N11
A7 N11
F10 H10
A7 H10
D10 N8
L7 N3
B9 G11
C6 L4
M10 L4
A7 B9
L4 M10
L7 E3
L9 B12
E7 B12
D2 M4
A7 M6
N8 E5
L4 B6
M10 B6
E7 F8
F10 L3
G7 E3
G6 E5
L7 E5
E5 E7
B6 A4
B6 A4
E3 C11
F10 H10
A4 I9
M4 B3
G9 B3
F10 B10
E7 N9
F10 H9
B3 G8
